Sl No,Level,Country,Number of Vote,Date of Votes,eng,ger,fre,ita,spa,por,jpn,chi,rus,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
392,Country,Switzerland,211,16/05/1965,"Amended law on milk, dairy products and cooking fat",Bundesgesetz vom 02.10.1964 betreffend die Aenderung des Beschlusses der Bundesversammlung über Milch  Milchprodukte und Speisefette (Milchbeschluss),Loi fédérale modifiant l'arrêté de l'Assemblée fédérale concernant le lait les produits laitiers et les graisses comestibles,Legge federale del 02.10.1964 che modifica il decreto dell'Assemblea federale concernente il latte i latticini e i grassi commestibili,,,,,,,,,,,,None,1556375,0,583161,22628,690,347059,212784,,,none,,,0,,0,Optional Legislative Referendum (Federal Decrees),81917,,,,Livestock | none | none,37.22,559843,61.99,38.01,yes,
393,Country,Switzerland,209,28/02/1965,Control of inflation through measures affecting money and capital markets and banking,Bundesbeschluss vom 13.03.1964 über die Bekämpfung der Teuerung durch Massnahmen auf dem Gebiete des Geld- und Kapitalmarktes und des Kreditwesens,Arrêté fédéral concernant la lutte contre le renchérissement par des mesures dans le domaine du marché de l'argent et des capitaux et dans celui du crédit,Decreto federale del 13.03.1964 sulla lotta contro il rincaro (decreto sui provvedimenti monetari),,,,,,,,,,,,None,1558090,0,929696,15348,2004,526599,385745,18.5,3.5,none,,,0,,0,Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis),0,,,,"Short-term economic policy | Monetary policy | Banks, stock exchange, insurance",59.66,912344,57.72,42.28,yes,
394,Country,Switzerland,210,28/02/1965,Control of inflation through measures affecting the building sector,Bundesbeschluss vom 13.03.1964 über die Bekämpfung der Teuerung durch Massnahmen auf dem Gebiete der Bauwirtschaft,Arrêté fédéral concernant la lutte contre le renchérissement par des mesures dans le domaine de la construction,Decreto federale del 13.03.1964 sulla lotta contro il rincaro (decreto sui provvedimenti edilizi),,,,,,,,,,,,None,1558090,0,930253,13992,2075,507739,406447,17,5,none,,,0,,0,Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis),0,,,,Short-term economic policy | none | none,59.7,914186,55.54,44.46,yes,
395,Country,Switzerland,208,06/12/1964,Continuation of temporary price control measures,Bundesbeschluss vom 09.10.1964 über die Weiterführung befristeter Preiskontrollmassnahmen,Arrêté fédéral sur le maintien de mesures temporaires en matière de contrôle des prix,Decreto federale del 09.10.1964 concernente il mantenimento di provvedimenti temporanei del controllo dei prezzi,,,,,,,,,,,,None,1547405,0,606600,24244,1468,461630,119258,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Pricing policy | Tenancy issues | none,39.2,580888,79.47,20.53,yes,
396,Country,Switzerland,207,24/05/1964,Law on vocational training,Bundesgesetz vom 20.09.1963 über die Berufsbildung,Loi fédérale sur la formation professionnelle,Legge federale del 20.09.1963 concernente la formazione professionale,,,,,,,,,,,,None,1539434,0,570037,21893,1495,375052,171597,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),34254,,,,Professional and vocational education | none | none,37.02,546649,68.61,31.39,yes,
397,Country,Switzerland,206,02/02/1964,General tax amnesty from 1 January 1965,Bundesbeschluss vom 27.09.1963 über den Erlass einer allgemeinen Steueramnestie auf den 1. Januar 1965,Arrêté fédéral concernant l'octroi d'une amnistie fiscale générale au 1er janvier 1965,Decreto federale del 27.09.1963 concernente un'amnistia fiscale generale al 1 gennaio 1965,,,,,,,,,,,,None,1535746,0,679971,20519,1352,276236,381864,3.5,18.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Tax policy | none | none,44.27,658100,41.97,58.03,no,
398,Country,Switzerland,204,08/12/1963,Extension of period of validity of article 41 of the constitution and lowering of defence tax),Bundesbeschluss vom 27.09.1963 über die Weiterführung der Finanzordnung des Bundes (Verlängerung der Geltungsdauer von Art.41ter BV und Ermässigung der Wehrsteuer),Arrêté fédéral concernant la prorogation du régime financier de la Confédération (Prolongation de validité de l'article 41ter de la constitution et réduction de l'impôt pour la défense nationale),Decreto federale del 27.09.1963 concernente la proroga dell'ordinamento delle finanze della Confederazione,,,,,,,,,,,,None,1532921,0,640868,28142,970,474786,136970,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Tax policy | Financial system | none,41.81,611756,77.61,22.39,yes,
399,Country,Switzerland,205,08/12/1963,Constitutional amendment on scholarships and other forms of educational support,Bundesbeschluss vom 21.06.1963 betreffend die Ergänzung der Bundesverfassung durch einen Artikel 27quater über Stipendien und andere Ausbildungsbeihilfen,Arrêté fédéral introduisant dans la constitution un article 27quater sur les bourses d'études et autres aides financières à l'instruction,Decreto federale del 21.06.1963 che inserisce nella Costituzione un articolo 27quater sulle borse di studio e altri aiuti finanziari per l'istruzione,,,,,,,,,,,,None,1532921,0,639940,27400,909,479987,131644,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Universities | none | none,41.75,611631,78.48,21.52,yes,
400,Country,Switzerland,203,26/05/1963,"""Right of Swiss citizens to decide whether the Swiss army should have nuclear weapons""",Volksbegehren für das Entscheidungsrecht des Volkes über die Ausrüstung der schweizerischen Armee mit Atomwaffen,Initiative populaire fédérale «Sur le droit du peuple de décider de l'équipement de l'armée suisse en armes atomiques»,Iniziativa popolare diritto di risolvere circa l'equipaggiamento dell'esercito svizzero con armi nucleari,,,,,,,,,,,,None,1523595,0,743469,16783,1387,274061,451238,4.5,17.5,none,,,0,,0,Initiative (Formulated Draft),63565,,Sozialdemokratische ParteiParti socialiste suisse,,Arms | Referendum | Legislative procedure,48.79,725299,37.79,62.21,no,
401,Country,Switzerland,202,04/11/1962,Constitutional amendment on the election to the House of Representatives,Bundesbeschluss vom 15.06.1962 über die Aenderung des Artikels 72 der Bundesverfassung (Wahl des Nationalrates),Arrêté fédéral modifiant l'article 72 de la constitution (élection du Conseil national),Decreto federale del 15.06.1962 che modifica l'articolo 72 della Costituzione (Elezione del Consiglio nazionale),,,,,,,,,,,,None,1515920,0,550467,29179,1016,331059,188731,16,6,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Parliament | Electoral system | none,36.31,519790,63.69,36.31,yes,
402,Country,Switzerland,200,27/05/1962,Constitutional amendment on natural and cultural heritage,Bundesbeschluss vom 21.12.1961 über die Ergänzung der Bundesverfassung durch einen Artikel 24sexies betreffend den Natur- und Heimatschutz,Arrêté fédéral insérant dans la constitution fédérale un article 24sexies sur la protection de la nature et du paysage,Decreto federale del 21.12.1961 concernente l'inserimento nella Costituzione federale di un articolo 24sexies sulla protezione della natura e del paesaggio,,,,,,,,,,,,None,1509718,0,585357,25360,582,442559,116856,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Protection of nature and cultural heritage | none | none,38.77,559415,79.11,20.89,yes,
403,Country,Switzerland,201,27/05/1962,Amendment law on financial compensation and travel expenses for members of the House of Representatives and parliamentary committees,Bundesgesetz vom 21.12.1961 über die Abänderung des Bundesgesetzes betreffend die Taggelder und Reiseentschädigungen des Nationalrates und der Kommission der eidgenössischen Räte,Loi fédérale modifiant la loi sur les indemnités de présence et de déplacement des membres du Conseil national et des commissions de l'Assemblée fédérale,Legge federale del 21.12.1961 che modifica quella sulle indennità di presenza e di viaggio dei membri del Consiglio nazionale e delle commissioni delle Camere federali,,,,,,,,,,,,None,1509718,0,585515,26823,726,176737,381229,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),30675,,,,Parliament | none | none,38.77,557966,31.68,68.32,no,
404,Country,Switzerland,199,01/04/1962,"""Ban on nuclear weapons""",Volksbegehren für ein Verbot von Atomwaffen,Initiative populaire fédérales «Pour l'interdiction des armes atomiques»,Iniziativa popolare per la proibizione delle armi nucleari,,,,,,,,,,,,None,1510038,0,839590,14003,1554,286895,537138,4,18,none,,,0,,0,Initiative (Formulated Draft),72795,,Schweizer Bewegung gegen atomare Aufrüstung,,Arms | none | none,55.59,824033,34.82,65.18,no,
405,Country,Switzerland,198,03/12/1961,Measures to boost legal status of the Swiss watch industry,Bundesbeschluss vom 23.06.1961 über die schweizerische Uhrenindustrie (Uhrenstatut),Arrêté fédéral concernant l'industrie horlogère suisse (Statut légal de l'horlogerie),Decreto federale del 23.06.1961 concernente l'industria orologiera svizzera (Statuto dell'orologeria),,,,,,,,,,,,None,1505074,0,690624,24523,1239,443483,221379,,,none,,,0,,0,Optional Legislative Referendum (Federal Decrees),31711,,,,Structural policy | none | none,45.88,664862,66.7,33.3,yes,
406,Country,Switzerland,197,22/10/1961,"""Introduction of legislative initiative at the federal level""",Volksbegehren für die Einführung der Gesetzesinitiative im Bund,Initiative populaire fédérale «Tendant à l'institution de l'initiative législative en matière fédérale»,Iniziativa popolare intesa a istituire l'inizativa legislativa negli affari federali,,,,,,,,,,,,None,1502509,0,602517,21082,1148,170842,409445,,22,none,,,0,,0,Initiative (Formulated Draft),101891,,Sozialdemokratische ParteiParti socialiste suisse,,Citizen's initiatives | Legislative procedure | none,40.09,580287,29.44,70.56,no,
407,Country,Switzerland,195,05/03/1961,Constitutional amendment on pipelines for liquid and gaseous fuels,Bundesbeschluss vom 14.12.1960 über die Ergänzung der Bundesverfassung durch einen Artikel 26bis betreffend Rohrleitungsanlagen zur Beförderung flüssiger oder gasförmiger Brenn- oder Treibstoffe,Arrêté fédéral concernant l'insertion dans la constitution d'un article 26bis sur les installations de transport par conduites de combustibles ou de carburants liquides ou gazeux,Decreto federale del 14.12.1960 concernente l'inserimento nella Costituzione federale di un articolo 26bis sugli impianti di trasporto mediante condotte di combustibili e carburanti liquidi o gassosi,,,,,,,,,,,,None,1496380,0,939939,35198,2097,644797,257847,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Oil and gas | none | none,62.81,902644,71.43,28.57,yes,
408,Country,Switzerland,196,05/03/1961,Increasing fuel duty to finance motorways,Bundesbeschluss vom 29.09.1960 über die Erhebung eines Zollzuschlages auf Treibstoffen zur Finanzierung der Nationalstrassen,Arrêté fédéral concernant le perception d'une taxe sur les carburants pour moteurs destinée à financer à titre complémentaire les routes nationales,Decreto federale del 29.09.1960 che istituisce un sopraddazio sui carburanti per motori destinato al finanziamento delle strade nazionali,,,,,,,,,,,,None,1496380,0,946591,11649,2095,434245,498602,,,none,,,0,,0,Optional Legislative Referendum (Federal Decrees),125858,,,,Indirect taxation | Road construction | none,63.25,932847,46.55,53.45,no,
409,Country,Switzerland,194,04/12/1960,Additional economic and financial measures in milk production,Bundesbeschluss vom 30.06.1960 betreffend die Aenderung des Bundesbeschlusses über zusätzliche wirtschaftliche und finanzielle Massnahmen auf dem Gebiete der Milchwirtschaft,Arrêté fédéral modifiant celui qui concerne les mesures complémentaires d'ordre économique et financier applicables à l'économie laitière,Decreto federale del 30.06.1960 che modifica quello concernente misure economiche e finanziarie completive per l'economia del latte,,,,,,,,,,,,None,1493734,0,743794,31199,2471,400104,310020,,,none,,,0,,0,Optional Legislative Referendum (Federal Decrees),34852,,,,Livestock | none | none,49.79,710124,56.34,43.66,yes,
410,Country,Switzerland,193,29/05/1960,Continuation of temporary price control measures,Bundesbeschluss vom 24.03.1960 über die Weiterführung befristeter Preiskontrollmassnahmen,Arrêté fédéral sur le maintien de mesures temporaires en matière de contrôle des prix,Decreto federale del 24.03.1960 concernente il mantenimento di provvedimenti temporanei del controllo dei prezzi,,,,,,,,,,,,None,1488779,0,580472,22033,1015,432219,125205,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Pricing policy | Tenancy issues | Livestock,38.99,557424,77.54,22.46,yes,
411,Country,Switzerland,192,24/05/1959,Constitutional amendment on civil protection,Bundesbeschluss vom 17.12.1958 über die Ergänzung der Bundesverfassung durch einen Artikel 22bis über den Zivilschutz,Arrêté fédéral insérant dans la constitution un article 22bis sur la protection civile,Decreto federale del 17.12.1958 concernente l'inserimento nella Costituzione federale di un articolo 22bis sulla protezione civile,,,,,,,,,,,,None,1479566,0,634144,21623,1189,380631,230701,22,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Civil protection | none | none,42.86,611332,62.26,37.74,yes,
412,Country,Switzerland,191,01/02/1959,Introduction of women's suffrage at national level,Bundesbeschluss vom 13.06.1958 über die Einführung des Frauenstimm- und -wahlrechts in eidgenössischen Angelegenheiten,Arrêté fédéral sur l'institution du suffrage féminin en matière fédérale,Decreto federale del 13.06.1958 concernente l'istituzione del diritto elettorale e di voto della donna in materia federale,,,,,,,,,,,,None,1480555,0,987843,7497,1680,323727,654939,3,19,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Voting rights | Status of women | Fundamental rights,66.72,978666,33.08,66.92,no,
413,Country,Switzerland,189,07/12/1958,Constitutional amendement on gambling in casinos,Bundesbeschluss vom 26.09.1958 über die Aenderung der Bundesverfassung (Kursaalspiele),Arrêté fédéral modifiant la constitution (jeux dans les kursaals),Decreto federale del 26.09.1958 che modifica la Costituzione federale (giuochi nei Kursaal),,,,,,,,,,,,None,1477043,0,682936,26268,1143,392620,262905,20.5,1.5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,Structural policy | Lottery and gambling | none,46.24,655525,59.89,40.11,yes,
414,Country,Switzerland,190,07/12/1958,Agreement between the Switzerland and Italy on harnessing the energy of the river Spoel,Bundesbeschluss vom 20.12.1957 betreffend die Genehmigung des zwischen der Schweizerischen Eidgenossenschaft und der Italienischen Republik abgeschlossenen Abkommens über die Nutzbarmachung der Wasserkraft des Spöl,Arrêté fédéral concernant l'approbation de la convention conclue entre la Confédération suisse et la République italienne au sujet de l'utilisation de la force hydraulique du Spöl,Decreto federale del 20.12.1957 che approva la convenzione tra la Confederazione Svizzera e la Repubblica Italiana per l'utilizzazione della forza idraulica dello Spöl,,,,,,,,,,,,None,1477043,0,685433,17612,1178,501170,165473,,,none,,,0,,0,Optional Treaty Referendum (for an unlimited period or duration >15 years),64116,,,,Bilateral treaties | Hydro-electric power | Protection of nature and cultural heritage,46.4,666643,75.18,24.82,yes,
